# command:    ssu-cmsearch --hmm-cW 1.5 --no-null3 --noalign -T -1 --tab meta_16S_rRNA/meta_16S_rRNA.tab --viterbi /opt/linux/centos/7.x/x86_64/pkgs/ssu-align/0.1.1/share/ssu-align-0.1.1/ssu-align-0p1.cm meta_16S_rRNA.fasta
# date:       Mon Jan  7 22:59:35 2019
# num seqs:   1197
# dbsize(Mb): 1.133112
#
# Pre-search info for CM 1: archaea
#
# rnd  mod  alg  cfg   beta  bit sc cut
# ---  ---  ---  ---  -----  ----------
#   1  hmm  vit  loc      -       -1.00
#
# CM: archaea
#                                                                                       target coord   query coord                         
#                                                                             ----------------------  ------------                         
# model name  target name                                                          start        stop  start   stop    bit sc   E-value  GC%
# ----------  --------------------------------------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  archaea     Rhizopus_stolonifer_SM_134_NODE_866                                     10         618      1   1508    334.17         -   56
  archaea     Rhizopus_stolonifer_SM_134_NODE_43                                       6         663      1   1508    156.33         -   55
  archaea     Rhizopus_stolonifer_SM_134_NODE_14701                                    1         320      1   1508    130.22         -   51
  archaea     Rhizopus_stolonifer_SM_134_NODE_24727                                    1         263      1   1508     75.46         -   56
  archaea     Rhizopus_stolonifer_SM_134_NODE_32552                                    2         214      1   1508    142.25         -   61
  archaea     Rhizopus_stolonifer_SM_134_NODE_34949                                    1         233      1   1508    114.42         -   51
  archaea     Rhizopus_stolonifer_SM_134_NODE_34949                                  181         150      1   1508     -0.28         -   56
  archaea     Rhizopus_stolonifer_SM_134_NODE_40575                                   32         205      1   1508     62.35         -   53
  archaea     Rhizopus_stolonifer_SM_134_NODE_4407                                   104         175      1   1508     22.79         -   46
  archaea     Rhizopus_stolonifer_SM_134_NODE_11219                                  268         366      1   1508      5.19         -   44
  archaea     Rhizopus_stolonifer_SM_134_NODE_11219                                  173         163      1   1508      0.37         -   55
  archaea     Rhizopus_stolonifer_SM_134_NODE_5073                                    71         144      1   1508      3.92         -   35
  archaea     Rhizopus_stolonifer_SM_134_NODE_5073                                   197         183      1   1508     -0.81         -   27
  archaea     Rhizopus_stolonifer_SM_134_NODE_39366                                   50         135      1   1508      2.17         -   47
  archaea     Rhizopus_stolonifer_SM_134_NODE_43911                                    4          60      1   1508      3.06         -   51
  archaea     Rhizopus_liquefaciens_NRRL_1514_NODE_2                                  50        1525      1   1508    569.84         -   56
  archaea     Rhizopus_liquefaciens_NRRL_1514_NODE_2                                 707         657      1   1508     -0.17         -   47
  archaea     Rhizopus_sp._NRRL_A-18714_NODE_41                                      242         210      1   1508     -0.16         -   55
  archaea     Conidiobolus_thromboides_NRRL_1224_NODE_1                              887        1174      1   1508     30.56         -   40
  archaea     Conidiobolus_thromboides_NRRL_1224_NODE_1                              555         542      1   1508      1.32         -   43
  archaea     Conidiobolus_thromboides_NRRL_1224_NODE_3                              103         944      1   1508    220.72         -   44
  archaea     Conidiobolus_thromboides_NRRL_1224_NODE_3                               39          30      1   1508      0.79         -   40
  archaea     Conidiobolus_thromboides_NRRL_1224_NODE_3.1                            231         285      1   1508     28.15         -   60
  archaea     Conidiobolus_thromboides_NRRL_1224_NODE_3.1                            167         153      1   1508     -0.60         -   47
  archaea     Rhizopus_stolonifer_SM123_NODE_1                                       831         902      1   1508     22.43         -   43
  archaea     Rhizopus_stolonifer_SM123_NODE_1                                       777         761      1   1508      1.05         -   41
  archaea     Rhizopus_stolonifer_SM_143_NODE_4035                                   194         303      1   1508     54.86         -   59
  archaea     Rhizopus_stolonifer_SM_143_NODE_4711                                    10         287      1   1508    113.39         -   56
  archaea     Rhizopus_stolonifer_SM_143_NODE_349                                      1         238      1   1508    135.14         -   57
  archaea     Rhizopus_stolonifer_SM_143_NODE_14190                                    1         173      1   1508     90.75         -   60
  archaea     Rhizopus_stolonifer_SM_143_NODE_17069                                   10         226      1   1508    105.95         -   57
  archaea     Rhizopus_stolonifer_SM_143_NODE_504                                      6         285      1   1508     66.34         -   57
  archaea     Rhizopus_stolonifer_SM_143_NODE_1276                                    52         250      1   1508     68.21         -   56
  archaea     Rhizopus_stolonifer_SM_143_NODE_271                                    314         387      1   1508      3.92         -   35
  archaea     Rhizopus_stolonifer_SM_143_NODE_271                                    440         426      1   1508     -0.81         -   27
  archaea     Rhizopus_stolonifer_SM_143_NODE_534                                    104         175      1   1508     22.79         -   46
  archaea     Rhizopus_stolonifer_SM_143_NODE_534.1                                   19          40      1   1508     -0.28         -   64
  archaea     Rhizopus_sp._NRRL_2934_NODE_1476                                        50        1525      1   1508    571.56         -   56
  archaea     Rhizopus_sp._NRRL_2934_NODE_1476                                       707         657      1   1508     -0.17         -   47
  archaea     Rhizopus_stolonifer_SM106_NODE_1                                       831         902      1   1508     22.43         -   43
  archaea     Rhizopus_stolonifer_SM106_NODE_1                                       777         761      1   1508      1.05         -   41
  archaea     Rhizopus_stolonifer_SM106_NODE_25                                      237         252      1   1508     -0.90         -   31
  archaea     Mucor_indicus_NRRL_555_NODE_9867                                         3         266      1   1508    166.42         -   52
  archaea     Mucor_indicus_NRRL_555_NODE_13219                                        1         213      1   1508    152.73         -   56
  archaea     Mucor_indicus_NRRL_555_NODE_11188                                        3         168      1   1508     98.29         -   56
  archaea     Mucor_indicus_NRRL_555_NODE_11340                                        8         198      1   1508     60.04         -   49
  archaea     Rhizopus_stolonifer_SM_119_NODE_129                                      6        1539      1   1508    690.68         -   55
  archaea     Rhizopus_stolonifer_SM_119_NODE_5379                                   263         381      1   1508     17.85         -   37
  archaea     Rhizopus_stolonifer_SM_119_NODE_9259                                   139         160      1   1508      1.61         -   59
  archaea     Rhizopus_stolonifer_SM_119_NODE_9259                                   173         163      1   1508      0.37         -   55
  archaea     Rhizopus_stolonifer_SM84_NODE_46                                        51        1537      1   1508    605.07         -   55
  archaea     Rhizopus_stolonifer_SM84_NODE_46                                       464         449      1   1508      0.88         -   44
  archaea     Rhizopus_stolonifer_SM84_NODE_32                                       715         786      1   1508     22.43         -   43
  archaea     Rhizopus_stolonifer_SM84_NODE_32                                       661         645      1   1508      1.05         -   41
  archaea     Circinella_chinensis_NRRL_2415_NODE_4794                                51        1140      1   1508    473.68         -   58
  archaea     Circinella_chinensis_NRRL_2415_NODE_18699                                1         261      1   1508    164.50         -   56
  archaea     Mucor_hiemalis_NRRL_29268_NODE_179                                     585         730      1   1508     36.21         -   43
  archaea     Mucor_hiemalis_NRRL_29268_NODE_179                                    1283        1269      1   1508     -0.81         -   40
  archaea     Mucor_hiemalis_NRRL_29268_NODE_379                                       1         165      1   1508     38.69         -   48
  archaea     Mucor_hiemalis_NRRL_29268_NODE_379.1                                    10         210      1   1508     39.98         -   57
  archaea     Mucor_hiemalis_NRRL_29268_NODE_379.2                                   208         263      1   1508     24.92         -   52
  archaea     Mucor_hiemalis_NRRL_29268_NODE_496                                      23         257      1   1508     50.07         -   55
  archaea     Mucor_hiemalis_NRRL_29268_NODE_330                                     103         173      1   1508      1.53         -   41
