SampleID	CONTIG COUNT	TOTAL LENGTH	MIN	MAX	MEDIAN	MEAN	L50	N50	L90	N90	GC%	BUSCO_Complete	BUSCO_Single	BUSCO_Duplicate	BUSCO_Fragmented	BUSCO_Missing	BUSCO_NumGenes	Reads	Mapped_reads	Average_Coverage
Absidia_anomala_NRRL_1807	192	902795	1013	47552	3388	4702.06	41	6432	130	2216	36.90	0.1	0.1	0.0	0.0	99.9	758	NA	798211	132.6
Absidia_blakesleeana_NRRL_1300	712	30971560	502	633359	4738	43499.38	70	144737	221	40585	41.11	96.2	86.3	9.9	0.8	3.0	758	6051524	5979630	28.9
Absidia_blakesleeana_NRRL_1301	752	31124115	480	495897	5479	41388.45	73	139129	235	35919	41.10	96.3	86.7	9.6	0.8	2.9	758	8247436	8046930	38.8
Absidia_blakesleeana_NRRL_1303	418	30927735	1008	633974	26676	73989.80	50	188277	160	53574	41.11	96.3	86.4	9.9	0.8	2.9	758	NA	25008996	121.2
Absidia_caerulea_RSA_138+	1795	39893329	1002	170545	15571	22224.70	332	37780	1015	12646	41.33	96.4	77.8	18.6	1.2	2.4	758	7311164	7090314	26.6
Absidia_caerulea_RSA_138-	1550	38623610	1001	205887	16957	24918.46	281	42665	874	13655	41.18	96.4	77.3	19.1	0.5	3.1	758	6429842	6184719	24.0
Absidia_californica_NRRL_2709	1750	36319760	500	387460	1606	20754.15	128	85835	462	18358	40.69	96.7	76.5	20.2	0.8	2.5	758	8061918	7582662	31.3
Absidia_californica_NRRL_2967	1329	36024637	500	488149	4354	27106.57	123	92685	420	21101	41.11	96.4	76.0	20.4	1.1	2.5	758	11182340	10493212	43.7
Absidia_coerulea_NRRL_1310	2296	39688906	500	210848	2954	17286.11	250	50933	802	13740	40.81	96.3	76.9	19.4	0.5	3.2	758	7144504	7041205	26.6
Absidia_coerulea_NRRL_1312	1172	39034464	1001	247722	21668	33305.86	198	60740	632	19285	41.17	96.4	77.3	19.1	0.5	3.1	758	NA	17311577	66.5
