# command:    ssu-cmsearch --hmm-cW 1.5 --no-null3 --noalign -T -1 --tab spades_16S_rRNA/spades_16S_rRNA.tab --viterbi /opt/linux/centos/7.x/x86_64/pkgs/ssu-align/0.1.1/share/ssu-align-0.1.1/ssu-align-0p1.cm spades_16S_rRNA.fasta
# date:       Mon Jan  7 23:03:26 2019
# num seqs:   801
# dbsize(Mb): 0.871186
#
# Pre-search info for CM 1: archaea
#
# rnd  mod  alg  cfg   beta  bit sc cut
# ---  ---  ---  ---  -----  ----------
#   1  hmm  vit  loc      -       -1.00
#
# CM: archaea
#                                                                                       target coord   query coord                         
#                                                                             ----------------------  ------------                         
# model name  target name                                                          start        stop  start   stop    bit sc   E-value  GC%
# ----------  --------------------------------------------------------------  ----------  ----------  -----  -----  --------  --------  ---
  archaea     Rhizopus_chinensis_NRRL_5190_NODE_4143                                   1         233      1   1508    115.03         -   49
  archaea     Mucor_recurvus_NRRL_2358_NODE_15150                                     21         243      1   1508    156.59         -   57
  archaea     Mucor_recurvus_NRRL_2358_NODE_15913                                     88         296      1   1508    159.27         -   62
  archaea     Mucor_recurvus_NRRL_2358_NODE_15710                                    150         301      1   1508     36.59         -   51
  archaea     Mucor_recurvus_NRRL_2358_NODE_15149                                     48         116      1   1508     91.36         -   59
  archaea     Coemansia_sp._RSA_487_NODE_111                                         658         789      1   1508      9.69         -   37
  archaea     Coemansia_sp._RSA_487_NODE_111.1                                       346         385      1   1508     18.11         -   43
  archaea     Coemansia_sp._RSA_487_NODE_446                                         101         270      1   1508     23.74         -   48
  archaea     Coemansia_sp._RSA_487_NODE_446                                          35          26      1   1508      0.79         -   40
  archaea     Coemansia_sp._RSA_487_NODE_446.1                                       230         291      1   1508     31.15         -   58
  archaea     Mucor_nidicola_NRRL_54520_NODE_8627                                     39          81      1   1508     15.52         -   40
  archaea     Rhizopus_stolonifer_SM70_NODE_22                                        51        1484      1   1508    710.07         -   56
  archaea     Rhizopus_stolonifer_SM70_NODE_22                                       184         176      1   1508      1.76         -   44
  archaea     Rhizopus_stolonifer_SM70_NODE_7                                        685         751      1   1508     22.05         -   42
  archaea     Rhizopus_stolonifer_SM70_NODE_150                                      263         391      1   1508     22.27         -   38
  archaea     Rhizopus_stolonifer_SM70_NODE_180                                      286         351      1   1508      3.67         -   44
  archaea     Rhizopus_stolonifer_SM70_NODE_180                                      191         181      1   1508      0.37         -   55
  archaea     Rhizopus_stolonifer_SM70_NODE_15                                        77         150      1   1508      3.92         -   35
  archaea     Rhizopus_stolonifer_SM70_NODE_15                                       203         189      1   1508     -0.81         -   27
  archaea     Rhizopus_stolonifer_SM70_NODE_128                                       81         362      1   1508     43.96         -   45
  archaea     Rhizopus_stolonifer_SM70_NODE_29                                       164         154      1   1508     -0.45         -   36
  archaea     Rhizopus_stolonifer_SM105_NODE_1                                       685         756      1   1508     22.79         -   46
  archaea     Rhizopus_stolonifer_SM105_NODE_1                                      1304        1290      1   1508     -0.81         -   27
  archaea     Conidiobolus_thromboides_ARSEF_4968_NODE_3                             887        1174      1   1508     30.56         -   40
  archaea     Conidiobolus_thromboides_ARSEF_4968_NODE_3                             555         542      1   1508      1.32         -   43
  archaea     Conidiobolus_thromboides_ARSEF_4968_NODE_2                             103         944      1   1508    220.72         -   44
  archaea     Conidiobolus_thromboides_ARSEF_4968_NODE_2                              39          30      1   1508      0.79         -   40
  archaea     Conidiobolus_thromboides_ARSEF_4968_NODE_2.1                           231         285      1   1508     28.15         -   60
  archaea     Conidiobolus_thromboides_ARSEF_4968_NODE_2.1                           167         153      1   1508     -0.60         -   47
  archaea     Dichotomocladium_elegans_NRRL_2754_NODE_1387                            36          27      1   1508      0.79         -   40
  archaea     Dichotomocladium_elegans_NRRL_2754_NODE_4322                             1         236      1   1508     32.53         -   50
  archaea     Rhizopus_stolonifer_SM14c_NODE_61                                        6        1539      1   1508    685.09         -   55
  archaea     Rhizopus_arrhizus_NRRL_2582_NODE_67                                    208        1228      1   1508    514.58         -   55
  archaea     Rhizopus_arrhizus_NRRL_2582_NODE_67                                    410         360      1   1508     -0.17         -   47
  archaea     Rhizopus_arrhizus_NRRL_2582_NODE_18                                     50         347      1   1508     55.88         -   63
  archaea     Rhizopus_arrhizus_NRRL_2582_NODE_2714                                    6         125      1   1508     21.81         -   61
  archaea     Rhizopus_chinensis_NRRL_2909_NODE_3                                      4          57      1   1508      0.36         -   56
  archaea     Coemansia_sp._RSA_451_NODE_2                                           659         706      1   1508      4.61         -   46
  archaea     Coemansia_sp._RSA_451_NODE_2                                           241         229      1   1508      0.03         -   38
  archaea     Coemansia_sp._RSA_451_NODE_2.1                                         346         388      1   1508     18.43         -   40
  archaea     Coemansia_sp._RSA_451_NODE_2.2                                          14          76      1   1508     -0.53         -   44
  archaea     Rhizopus_microsporus_NRRL_5554_NODE_186                                 50        1527      1   1508    578.32         -   56
  archaea     Rhizopus_microsporus_NRRL_5554_NODE_186                                709         659      1   1508     -0.17         -   47
  archaea     Mucor_pusillus_Lindt_NRRL_A-16035_NODE_720                              77         337      1   1508     59.11         -   41
  archaea     Mucor_pusillus_Lindt_NRRL_A-16035_NODE_720.1                            45         223      1   1508     19.00         -   42
  archaea     Mucor_pusillus_Lindt_NRRL_A-16035_NODE_745                             213         255      1   1508     11.77         -   49
  archaea     Mucor_pusillus_Lindt_NRRL_A-16035_NODE_772                               1         232      1   1508     43.23         -   47
  archaea     Mucor_pusillus_Lindt_NRRL_A-16035_NODE_1438                              1         225      1   1508     24.07         -   48
  archaea     Rhizopus_stolonifer_SM91_NODE_39                                      1111        1239      1   1508     22.27         -   38
  archaea     Rhizopus_stolonifer_SM91_NODE_39                                       511         501      1   1508      0.37         -   55
  archaea     Fennellomyces_heterothallicus_RSA_2348_NODE_1490                       126         168      1   1508     11.77         -   49
  archaea     Mucor_laxorrhizus_NRRL_2814_NODE_5809                                   24         495      1   1508     94.94         -   52
  archaea     Mucor_laxorrhizus_NRRL_2814_NODE_5809                                  430         416      1   1508      0.01         -   53
  archaea     Rhizopus_stolonifer_SM_139_NODE_7                                        6        1539      1   1508    686.44         -   55
  archaea     Rhizopus_nigricans_Ehrenberg_NRRL_1477_NODE_37                           6         196      1   1508     37.84         -   45
  archaea     Rhizopus_arrhizus_NRRL_5896_NODE_4                                      43          96      1   1508      0.82         -   56
  archaea     Rhizopus_stolonifer_SM16-2_NODE_17                                       6        1539      1   1508    690.68         -   55
  archaea     Rhizopus_stolonifer_SM16-2_NODE_12                                     685         756      1   1508     22.79         -   46
  archaea     Rhizopus_stolonifer_SM16-2_NODE_12                                    1304        1290      1   1508     -0.81         -   27
  archaea     Mucor_pusillus_NRRL_A-13674_NODE_771                                    48         308      1   1508     59.11         -   41
